organismal_trait	pSTR	STR_length	strain	trait_value	lrt_pvalue	adjusted_p	BF_significant
abamectin_norm.n	STR_10223	21	AB1	-8.31249648784896	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	BRC20067	-0.0634499884570104	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	BRC20263	11.5539972945279	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CB4852	-0.964473690988609	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CB4854	-4.48016318788405	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CB4856	10.8915203599572	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CB4932	-5.04598986681742	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CX11262	6.56260550937037	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CX11264	0.355300340662175	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CX11271	-3.41309932660081	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CX11276	0.965111890606655	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CX11285	11.2546626986301	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CX11292	5.75800715605837	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CX11307	14.9395919577859	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CX11314	-2.52093504302107	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CX11315	-4.57110995080254	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	DL200	2.92446670743338	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	DL226	1.81565859957793	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	DL238	39.3176244318494	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	ECA189	9.27309168881383	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CB4855	-2.7980970824993	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CB4857	2.96541463656498	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	CB4858	-4.0653583467968	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	ECA349	-2.78062271461231	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	ECA372	-5.81147970913094	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	ED3005	-6.52235460911737	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	ED3011	5.19156578945155	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	ED3017	-1.40906199388417	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	ED3040	-1.41840378697367	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10223	21	ED3046	-6.38273826181231	2.31304879240741e-06	0.00577105673705649	TRUE
